khizarhussain16, 35903, 4, 2016-3-8 23:28:46
Avatar_ID: 2, x :1, y: 4
Avatar_ID: 3, x :21, y: 27
Avatar_ID: 0, x :23, y: 16
Avatar_ID: 1, x :9, y: 9
Avatar_ID: 2, x :0, y: 4
Avatar_ID: 3, x :21, y: 27
Avatar_ID: 0, x :24, y: 16
Avatar_ID: 1, x :10, y: 9
Avatar_ID: 2, x :0, y: 5
Avatar_ID: 3, x :22, y: 27
Avatar_ID: 0, x :24, y: 16
Avatar_ID: 1, x :10, y: 9
Avatar_ID: 2, x :0, y: 5
Avatar_ID: 3, x :22, y: 26
Avatar_ID: 0, x :24, y: 16
Avatar_ID: 1, x :10, y: 9
Avatar_ID: 2, x :0, y: 6
Avatar_ID: 3, x :21, y: 26
Avatar_ID: 0, x :24, y: 17
Avatar_ID: 1, x :10, y: 10
Avatar_ID: 2, x :0, y: 6
Avatar_ID: 3, x :21, y: 26
Avatar_ID: 0, x :25, y: 17
Avatar_ID: 1, x :10, y: 10
Avatar_ID: 2, x :0, y: 6
Avatar_ID: 3, x :21, y: 26
Avatar_ID: 0, x :25, y: 16
Avatar_ID: 1, x :10, y: 11
Avatar_ID: 2, x :0, y: 5
Avatar_ID: 3, x :21, y: 25
Avatar_ID: 0, x :25, y: 16
Avatar_ID: 1, x :11, y: 11
Avatar_ID: 2, x :0, y: 4
Avatar_ID: 3, x :21, y: 25
Avatar_ID: 0, x :25, y: 15
Avatar_ID: 1, x :11, y: 10
Avatar_ID: 2, x :0, y: 4
Avatar_ID: 3, x :21, y: 24
Avatar_ID: 0, x :24, y: 15
Avatar_ID: 1, x :11, y: 10
Avatar_ID: 2, x :1, y: 4
Avatar_ID: 3, x :21, y: 24
Avatar_ID: 0, x :24, y: 15
Avatar_ID: 1, x :11, y: 10
Avatar_ID: 2, x :1, y: 3
Avatar_ID: 3, x :21, y: 23
Avatar_ID: 0, x :24, y: 15
Avatar_ID: 1, x :11, y: 10
Avatar_ID: 2, x :0, y: 3
Avatar_ID: 3, x :20, y: 23
Avatar_ID: 0, x :24, y: 15
Avatar_ID: 1, x :11, y: 11
Avatar_ID: 2, x :0, y: 3
Avatar_ID: 3, x :20, y: 23
Avatar_ID: 0, x :25, y: 15
Avatar_ID: 1, x :11, y: 11
Avatar_ID: 2, x :0, y: 2
Avatar_ID: 3, x :20, y: 23
Avatar_ID: 0, x :25, y: 14
Avatar_ID: 1, x :11, y: 12
Avatar_ID: 2, x :0, y: 1
Avatar_ID: 3, x :20, y: 22
Avatar_ID: 0, x :25, y: 14
Avatar_ID: 1, x :11, y: 12
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :20, y: 22
Avatar_ID: 0, x :25, y: 14
Avatar_ID: 1, x :11, y: 12
Avatar_ID: 2, x :1, y: 0
Avatar_ID: 3, x :20, y: 21
Avatar_ID: 0, x :25, y: 14
Avatar_ID: 1, x :11, y: 12
Avatar_ID: 2, x :1, y: 0
Avatar_ID: 3, x :19, y: 21
Avatar_ID: 0, x :25, y: 15
Avatar_ID: 1, x :11, y: 11
Avatar_ID: 2, x :2, y: 0
Avatar_ID: 3, x :19, y: 21
Avatar_ID: 0, x :25, y: 15
Avatar_ID: 1, x :10, y: 11
Avatar_ID: 2, x :2, y: 0
Avatar_ID: 3, x :19, y: 21
Avatar_ID: 0, x :25, y: 16
Avatar_ID: 1, x :10, y: 11
Avatar_ID: 2, x :3, y: 0
Avatar_ID: 3, x :19, y: 20
Avatar_ID: 0, x :25, y: 16
Avatar_ID: 1, x :9, y: 11
Avatar_ID: 2, x :3, y: 0
Avatar_ID: 3, x :19, y: 20
Avatar_ID: 0, x :25, y: 17
Avatar_ID: 1, x :9, y: 11
Avatar_ID: 2, x :3, y: 0
Avatar_ID: 3, x :19, y: 20
Avatar_ID: 0, x :25, y: 17
Avatar_ID: 1, x :9, y: 11
Avatar_ID: 2, x :3, y: 1
Avatar_ID: 3, x :20, y: 20
Avatar_ID: 0, x :25, y: 18
Avatar_ID: 1, x :9, y: 11
Avatar_ID: 2, x :3, y: 1
Avatar_ID: 3, x :20, y: 20
Avatar_ID: 0, x :25, y: 18
Avatar_ID: 1, x :10, y: 11
Avatar_ID: 2, x :3, y: 2
Avatar_ID: 3, x :21, y: 20
Avatar_ID: 0, x :25, y: 19
Avatar_ID: 1, x :10, y: 10
Avatar_ID: 2, x :4, y: 2
Avatar_ID: 3, x :21, y: 19
Avatar_ID: 0, x :25, y: 19
Avatar_ID: 1, x :10, y: 10
Avatar_ID: 2, x :4, y: 2
Avatar_ID: 3, x :21, y: 19
Avatar_ID: 0, x :25, y: 19
Avatar_ID: 1, x :10, y: 9
Avatar_ID: 2, x :5, y: 2
Avatar_ID: 3, x :21, y: 18
Avatar_ID: 0, x :24, y: 19
Avatar_ID: 1, x :9, y: 9
Avatar_ID: 2, x :5, y: 2
Avatar_ID: 3, x :20, y: 18
Avatar_ID: 0, x :24, y: 19
Avatar_ID: 1, x :9, y: 10
Avatar_ID: 2, x :5, y: 2
Avatar_ID: 3, x :20, y: 18
Avatar_ID: 0, x :23, y: 19
Avatar_ID: 1, x :9, y: 10
Avatar_ID: 2, x :5, y: 3
Avatar_ID: 3, x :19, y: 18
Avatar_ID: 0, x :23, y: 20
Avatar_ID: 1, x :9, y: 10
Avatar_ID: 2, x :5, y: 3
Avatar_ID: 3, x :19, y: 19
Avatar_ID: 0, x :24, y: 20
Avatar_ID: 1, x :8, y: 10
Avatar_ID: 2, x :5, y: 3
Avatar_ID: 3, x :20, y: 19
Avatar_ID: 0, x :24, y: 20
Avatar_ID: 1, x :8, y: 11
Avatar_ID: 2, x :4, y: 3
Avatar_ID: 3, x :20, y: 19
Avatar_ID: 0, x :25, y: 20
Avatar_ID: 1, x :8, y: 11
Avatar_ID: 2, x :4, y: 4
Avatar_ID: 3, x :20, y: 19
Avatar_ID: 0, x :25, y: 20
Avatar_ID: 1, x :8, y: 12
Avatar_ID: 2, x :4, y: 4
Avatar_ID: 3, x :20, y: 19
Avatar_ID: 0, x :25, y: 20
Avatar_ID: 1, x :9, y: 12
Avatar_ID: 2, x :4, y: 4
Avatar_ID: 3, x :19, y: 19
Avatar_ID: 0, x :25, y: 21
Avatar_ID: 1, x :9, y: 12
Avatar_ID: 2, x :3, y: 4
Avatar_ID: 3, x :19, y: 19
Avatar_ID: 0, x :26, y: 21
Avatar_ID: 1, x :10, y: 12
Avatar_ID: 2, x :3, y: 5
Avatar_ID: 3, x :19, y: 19
Avatar_ID: 0, x :26, y: 20
Avatar_ID: 1, x :10, y: 12
Avatar_ID: 2, x :4, y: 5
Avatar_ID: 3, x :19, y: 18
Avatar_ID: 0, x :26, y: 20
Avatar_ID: 1, x :10, y: 12
Avatar_ID: 2, x :4, y: 5
Avatar_ID: 3, x :18, y: 18
Avatar_ID: 0, x :26, y: 20
Avatar_ID: 1, x :10, y: 13
Avatar_ID: 2, x :4, y: 5
Avatar_ID: 3, x :18, y: 18
Avatar_ID: 0, x :27, y: 20
Avatar_ID: 1, x :11, y: 13
Avatar_ID: 2, x :4, y: 6
Avatar_ID: 3, x :17, y: 18
Avatar_ID: 0, x :27, y: 20
Avatar_ID: 1, x :11, y: 13
Avatar_ID: 2, x :4, y: 6
