khizarhussain16, 43446, 5, 2016-3-9 1:17:12
Avatar_ID: 0, x :12, y: 2
Avatar_ID: 1, x :21, y: 6
Avatar_ID: 2, x :13, y: 10
Avatar_ID: 3, x :12, y: 21
Avatar_ID: 4, x :25, y: 16
Avatar_ID: 0, x :12, y: 2
Avatar_ID: 1, x :21, y: 6
Avatar_ID: 2, x :12, y: 10
Avatar_ID: 3, x :11, y: 21
Avatar_ID: 4, x :25, y: 16
Avatar_ID: 0, x :12, y: 1
Avatar_ID: 1, x :21, y: 6
Avatar_ID: 2, x :12, y: 10
Avatar_ID: 3, x :11, y: 21
Avatar_ID: 4, x :25, y: 15
Avatar_ID: 0, x :12, y: 1
Avatar_ID: 1, x :22, y: 6
Avatar_ID: 2, x :12, y: 10
Avatar_ID: 3, x :11, y: 21
Avatar_ID: 4, x :25, y: 15
Avatar_ID: 0, x :12, y: 0
Avatar_ID: 1, x :22, y: 6
Avatar_ID: 2, x :12, y: 9
Avatar_ID: 3, x :11, y: 20
Avatar_ID: 4, x :25, y: 15
Avatar_ID: 0, x :11, y: 0
Avatar_ID: 1, x :22, y: 6
Avatar_ID: 2, x :12, y: 9
Avatar_ID: 3, x :11, y: 20
Avatar_ID: 4, x :26, y: 15
Avatar_ID: 0, x :11, y: 0
Avatar_ID: 1, x :22, y: 7
Avatar_ID: 2, x :12, y: 8
Avatar_ID: 3, x :11, y: 20
Avatar_ID: 4, x :26, y: 14
Avatar_ID: 0, x :10, y: 0
Avatar_ID: 1, x :22, y: 7
Avatar_ID: 2, x :11, y: 8
Avatar_ID: 3, x :12, y: 20
Avatar_ID: 4, x :25, y: 14
Avatar_ID: 0, x :10, y: 0
Avatar_ID: 1, x :22, y: 8
Avatar_ID: 2, x :11, y: 8
Avatar_ID: 3, x :12, y: 20
Avatar_ID: 4, x :25, y: 14
Avatar_ID: 0, x :10, y: 0
Avatar_ID: 1, x :22, y: 8
Avatar_ID: 2, x :10, y: 8
Avatar_ID: 3, x :13, y: 20
Avatar_ID: 4, x :25, y: 14
Avatar_ID: 0, x :10, y: 0
Avatar_ID: 1, x :22, y: 8
Avatar_ID: 2, x :10, y: 8
Avatar_ID: 3, x :13, y: 19
Avatar_ID: 4, x :25, y: 13
Avatar_ID: 0, x :11, y: 0
Avatar_ID: 1, x :22, y: 8
Avatar_ID: 2, x :10, y: 8
Avatar_ID: 3, x :12, y: 19
Avatar_ID: 4, x :25, y: 13
Avatar_ID: 0, x :11, y: 0
Avatar_ID: 1, x :22, y: 7
Avatar_ID: 2, x :10, y: 7
Avatar_ID: 3, x :12, y: 19
Avatar_ID: 4, x :25, y: 13
Avatar_ID: 0, x :12, y: 0
Avatar_ID: 1, x :21, y: 7
Avatar_ID: 2, x :10, y: 7
Avatar_ID: 3, x :11, y: 19
Avatar_ID: 4, x :26, y: 13
Avatar_ID: 0, x :12, y: 0
Avatar_ID: 1, x :21, y: 8
Avatar_ID: 2, x :10, y: 7
Avatar_ID: 3, x :11, y: 19
Avatar_ID: 4, x :26, y: 12
Avatar_ID: 0, x :13, y: 0
Avatar_ID: 1, x :21, y: 8
Avatar_ID: 2, x :11, y: 7
Avatar_ID: 3, x :11, y: 19
Avatar_ID: 4, x :26, y: 12
Avatar_ID: 0, x :13, y: 0
Avatar_ID: 1, x :21, y: 8
Avatar_ID: 2, x :11, y: 6
Avatar_ID: 3, x :11, y: 18
Avatar_ID: 4, x :26, y: 11
Avatar_ID: 0, x :13, y: 0
Avatar_ID: 1, x :20, y: 8
Avatar_ID: 2, x :11, y: 6
Avatar_ID: 3, x :10, y: 18
Avatar_ID: 4, x :26, y: 11
Avatar_ID: 0, x :13, y: 1
Avatar_ID: 1, x :20, y: 9
Avatar_ID: 2, x :11, y: 6
Avatar_ID: 3, x :10, y: 19
Avatar_ID: 4, x :26, y: 10
Avatar_ID: 0, x :14, y: 1
Avatar_ID: 1, x :21, y: 9
Avatar_ID: 2, x :11, y: 6
Avatar_ID: 3, x :10, y: 19
Avatar_ID: 4, x :26, y: 10
Avatar_ID: 0, x :14, y: 1
Avatar_ID: 1, x :21, y: 9
Avatar_ID: 2, x :11, y: 7
Avatar_ID: 3, x :10, y: 19
Avatar_ID: 4, x :26, y: 9
Avatar_ID: 0, x :15, y: 1
Avatar_ID: 1, x :22, y: 9
Avatar_ID: 2, x :12, y: 7
Avatar_ID: 3, x :9, y: 19
Avatar_ID: 4, x :26, y: 9
Avatar_ID: 0, x :15, y: 1
Avatar_ID: 1, x :22, y: 9
Avatar_ID: 2, x :12, y: 7
Avatar_ID: 3, x :9, y: 19
Avatar_ID: 4, x :26, y: 8
Avatar_ID: 0, x :15, y: 1
Avatar_ID: 1, x :22, y: 9
Avatar_ID: 2, x :12, y: 7
Avatar_ID: 3, x :8, y: 19
Avatar_ID: 4, x :26, y: 8
Avatar_ID: 0, x :15, y: 2
Avatar_ID: 1, x :22, y: 10
Avatar_ID: 2, x :12, y: 7
Avatar_ID: 3, x :8, y: 19
Avatar_ID: 4, x :26, y: 8
Avatar_ID: 0, x :16, y: 2
Avatar_ID: 1, x :23, y: 10
Avatar_ID: 2, x :11, y: 7
Avatar_ID: 3, x :7, y: 19
Avatar_ID: 4, x :26, y: 8
Avatar_ID: 0, x :16, y: 1
Avatar_ID: 1, x :23, y: 10
Avatar_ID: 2, x :11, y: 7
Avatar_ID: 3, x :7, y: 20
Avatar_ID: 4, x :26, y: 9
Avatar_ID: 0, x :16, y: 1
Avatar_ID: 1, x :24, y: 10
Avatar_ID: 2, x :10, y: 7
Avatar_ID: 3, x :8, y: 20
Avatar_ID: 4, x :27, y: 9
Avatar_ID: 0, x :16, y: 1
Avatar_ID: 1, x :24, y: 10
Avatar_ID: 2, x :10, y: 8
Avatar_ID: 3, x :8, y: 20
Avatar_ID: 4, x :27, y: 8
Avatar_ID: 0, x :17, y: 1
Avatar_ID: 1, x :25, y: 10
Avatar_ID: 2, x :11, y: 8
Avatar_ID: 3, x :9, y: 20
Avatar_ID: 4, x :27, y: 8
Avatar_ID: 0, x :17, y: 1
