khizarhussain16, 44955, 4, 2016-3-8 22:14:29
Avatar_ID: 0, x :0, y: 2
Avatar_ID: 1, x :3, y: 2
Avatar_ID: 2, x :0, y: 4
Avatar_ID: 3, x :2, y: 2
Avatar_ID: 0, x :0, y: 2
Avatar_ID: 1, x :3, y: 2
Avatar_ID: 2, x :0, y: 3
Avatar_ID: 3, x :1, y: 2
Avatar_ID: 0, x :1, y: 2
Avatar_ID: 1, x :3, y: 1
Avatar_ID: 2, x :0, y: 2
Avatar_ID: 3, x :1, y: 2
Avatar_ID: 0, x :1, y: 2
Avatar_ID: 1, x :3, y: 1
Avatar_ID: 2, x :1, y: 2
Avatar_ID: 3, x :0, y: 2
Avatar_ID: 0, x :2, y: 2
Avatar_ID: 1, x :3, y: 1
Avatar_ID: 2, x :2, y: 2
Avatar_ID: 3, x :0, y: 3
Avatar_ID: 0, x :2, y: 1
Avatar_ID: 1, x :3, y: 1
Avatar_ID: 2, x :2, y: 1
Avatar_ID: 3, x :1, y: 3
Avatar_ID: 0, x :2, y: 1
Avatar_ID: 1, x :3, y: 2
Avatar_ID: 2, x :2, y: 1
Avatar_ID: 3, x :1, y: 3
Avatar_ID: 0, x :2, y: 0
Avatar_ID: 1, x :4, y: 2
Avatar_ID: 2, x :2, y: 0
Avatar_ID: 3, x :1, y: 3
Avatar_ID: 0, x :1, y: 0
Avatar_ID: 1, x :4, y: 2
Avatar_ID: 2, x :1, y: 0
Avatar_ID: 3, x :1, y: 4
Avatar_ID: 0, x :1, y: 1
Avatar_ID: 1, x :4, y: 2
Avatar_ID: 2, x :1, y: 1
Avatar_ID: 3, x :2, y: 4
Avatar_ID: 0, x :1, y: 1
Avatar_ID: 1, x :4, y: 3
Avatar_ID: 2, x :1, y: 1
Avatar_ID: 3, x :2, y: 3
Avatar_ID: 0, x :1, y: 1
Avatar_ID: 1, x :4, y: 3
Avatar_ID: 2, x :1, y: 1
Avatar_ID: 3, x :2, y: 3
Avatar_ID: 0, x :0, y: 1
Avatar_ID: 1, x :4, y: 3
Avatar_ID: 2, x :0, y: 1
Avatar_ID: 3, x :2, y: 3
Avatar_ID: 0, x :0, y: 1
Avatar_ID: 1, x :3, y: 3
Avatar_ID: 2, x :0, y: 1
Avatar_ID: 3, x :3, y: 3
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :3, y: 3
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :3, y: 3
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :2, y: 3
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :2, y: 3
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :2, y: 4
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :2, y: 4
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :1, y: 4
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :1, y: 4
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :1, y: 3
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :1, y: 3
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :0, y: 3
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :0, y: 3
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :0, y: 2
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :0, y: 2
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :1, y: 2
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :1, y: 2
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :2, y: 2
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :2, y: 2
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :2, y: 1
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :2, y: 1
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :2, y: 0
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :2, y: 0
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :1, y: 0
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :1, y: 0
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :1, y: 1
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :1, y: 1
Avatar_ID: 0, x :0, y: 0
Avatar_ID: 1, x :0, y: 1
Avatar_ID: 2, x :0, y: 0
Avatar_ID: 3, x :0, y: 1
Solved with-- # of Avatars:4 Diff:0  Moves:111 Hash:1385910847
