khizarhussain16, 46160, 3, 2016-3-8 20:26:11
Avatar_ID: 0, x :4, y: 9
Avatar_ID: 1, x :3, y: 7
Avatar_ID: 2, x :9, y: 1
Avatar_ID: 0, x :3, y: 9
Avatar_ID: 1, x :3, y: 7
Avatar_ID: 2, x :9, y: 1
Avatar_ID: 0, x :3, y: 9
Avatar_ID: 1, x :3, y: 6
Avatar_ID: 2, x :9, y: 1
Avatar_ID: 0, x :3, y: 9
Avatar_ID: 1, x :3, y: 6
Avatar_ID: 2, x :9, y: 1
Avatar_ID: 0, x :3, y: 8
Avatar_ID: 1, x :3, y: 6
Avatar_ID: 2, x :9, y: 2
Avatar_ID: 0, x :3, y: 8
Avatar_ID: 1, x :4, y: 6
Avatar_ID: 2, x :10, y: 2
Avatar_ID: 0, x :3, y: 7
Avatar_ID: 1, x :4, y: 6
Avatar_ID: 2, x :10, y: 2
Avatar_ID: 0, x :3, y: 6
Avatar_ID: 1, x :4, y: 6
Avatar_ID: 2, x :10, y: 2
Avatar_ID: 0, x :4, y: 6
Avatar_ID: 1, x :4, y: 7
Avatar_ID: 2, x :10, y: 3
Avatar_ID: 0, x :4, y: 7
Avatar_ID: 1, x :4, y: 7
Avatar_ID: 2, x :11, y: 3
Avatar_ID: 0, x :4, y: 7
Avatar_ID: 1, x :4, y: 8
Avatar_ID: 2, x :11, y: 2
Avatar_ID: 0, x :4, y: 8
Avatar_ID: 1, x :5, y: 8
Avatar_ID: 2, x :11, y: 2
Avatar_ID: 0, x :5, y: 8
Avatar_ID: 1, x :5, y: 8
Avatar_ID: 2, x :11, y: 1
Avatar_ID: 0, x :5, y: 8
Avatar_ID: 1, x :6, y: 8
Avatar_ID: 2, x :10, y: 1
Avatar_ID: 0, x :6, y: 8
Avatar_ID: 1, x :6, y: 7
Avatar_ID: 2, x :10, y: 1
Avatar_ID: 0, x :6, y: 7
Avatar_ID: 1, x :6, y: 7
Avatar_ID: 2, x :10, y: 1
Avatar_ID: 0, x :6, y: 7
Avatar_ID: 1, x :6, y: 7
Avatar_ID: 2, x :10, y: 0
Avatar_ID: 0, x :6, y: 7
Avatar_ID: 1, x :7, y: 7
Avatar_ID: 2, x :9, y: 0
Avatar_ID: 0, x :7, y: 7
Avatar_ID: 1, x :7, y: 6
Avatar_ID: 2, x :9, y: 0
Avatar_ID: 0, x :7, y: 6
Avatar_ID: 1, x :7, y: 6
Avatar_ID: 2, x :8, y: 0
Avatar_ID: 0, x :7, y: 6
Avatar_ID: 1, x :7, y: 5
Avatar_ID: 2, x :8, y: 1
Avatar_ID: 0, x :7, y: 5
Avatar_ID: 1, x :7, y: 5
Avatar_ID: 2, x :8, y: 1
Avatar_ID: 0, x :7, y: 5
Avatar_ID: 1, x :7, y: 5
Avatar_ID: 2, x :8, y: 2
Avatar_ID: 0, x :7, y: 5
Avatar_ID: 1, x :8, y: 5
Avatar_ID: 2, x :8, y: 2
Avatar_ID: 0, x :8, y: 5
Avatar_ID: 1, x :8, y: 5
Avatar_ID: 2, x :8, y: 3
Avatar_ID: 0, x :8, y: 5
Avatar_ID: 1, x :9, y: 5
Avatar_ID: 2, x :8, y: 3
Avatar_ID: 0, x :9, y: 5
Avatar_ID: 1, x :9, y: 5
Avatar_ID: 2, x :8, y: 3
Avatar_ID: 0, x :9, y: 5
Avatar_ID: 1, x :9, y: 5
Avatar_ID: 2, x :7, y: 3
Avatar_ID: 0, x :9, y: 5
Avatar_ID: 1, x :9, y: 6
Avatar_ID: 2, x :7, y: 4
Avatar_ID: 0, x :9, y: 6
Avatar_ID: 1, x :9, y: 6
Avatar_ID: 2, x :8, y: 4
Avatar_ID: 0, x :9, y: 6
Avatar_ID: 1, x :9, y: 6
Avatar_ID: 2, x :8, y: 4
Avatar_ID: 0, x :9, y: 6
Avatar_ID: 1, x :8, y: 6
Avatar_ID: 2, x :9, y: 4
Avatar_ID: 0, x :8, y: 6
Avatar_ID: 1, x :8, y: 7
Avatar_ID: 2, x :9, y: 4
Avatar_ID: 0, x :8, y: 7
Avatar_ID: 1, x :8, y: 7
Avatar_ID: 2, x :10, y: 4
Avatar_ID: 0, x :8, y: 7
Avatar_ID: 1, x :8, y: 8
Avatar_ID: 2, x :10, y: 4
Avatar_ID: 0, x :8, y: 8
Avatar_ID: 1, x :9, y: 8
Avatar_ID: 2, x :10, y: 4
Avatar_ID: 0, x :9, y: 8
Avatar_ID: 1, x :9, y: 8
Avatar_ID: 2, x :10, y: 5
Avatar_ID: 0, x :9, y: 8
Avatar_ID: 1, x :9, y: 8
Avatar_ID: 2, x :10, y: 5
Avatar_ID: 0, x :9, y: 8
Avatar_ID: 1, x :9, y: 9
Avatar_ID: 2, x :10, y: 6
Avatar_ID: 0, x :9, y: 9
Avatar_ID: 1, x :10, y: 9
Avatar_ID: 2, x :10, y: 6
Avatar_ID: 0, x :10, y: 9
Avatar_ID: 1, x :10, y: 9
Avatar_ID: 2, x :10, y: 7
Avatar_ID: 0, x :10, y: 9
Avatar_ID: 1, x :11, y: 9
Avatar_ID: 2, x :10, y: 7
Avatar_ID: 0, x :11, y: 9
Avatar_ID: 1, x :11, y: 8
Avatar_ID: 2, x :10, y: 8
Avatar_ID: 0, x :11, y: 8
Avatar_ID: 1, x :10, y: 8
Avatar_ID: 2, x :11, y: 8
Avatar_ID: 0, x :10, y: 8
Avatar_ID: 1, x :10, y: 8
Avatar_ID: 2, x :11, y: 8
Solved with-- # of Avatars:3 Diff:2  Moves:134 Hash:-179297296
