khizarhussain16, 36419, 2, 2016-3-8 21:37:40
Avatar_ID: 0, x :4, y: 9
Avatar_ID: 1, x :3, y: 7
Avatar_ID: 0, x :3, y: 9
Avatar_ID: 1, x :3, y: 7
Avatar_ID: 0, x :3, y: 9
Avatar_ID: 1, x :3, y: 6
Avatar_ID: 0, x :3, y: 9
Avatar_ID: 1, x :3, y: 6
Avatar_ID: 0, x :3, y: 8
Avatar_ID: 1, x :3, y: 6
Avatar_ID: 0, x :3, y: 8
Avatar_ID: 1, x :4, y: 6
Avatar_ID: 0, x :3, y: 7
Avatar_ID: 1, x :4, y: 6
Avatar_ID: 0, x :3, y: 7
Avatar_ID: 1, x :3, y: 6
Solved with-- # of Avatars:2 Diff:2  Moves:15 Hash:1847828034
