khizarhussain16, 42087, 5, 2016-3-8 23:30:58
Avatar_ID: 0, x :15, y: 2
Avatar_ID: 1, x :9, y: 41
Avatar_ID: 2, x :22, y: 58
Avatar_ID: 3, x :39, y: 33
Avatar_ID: 4, x :43, y: 45
Avatar_ID: 0, x :15, y: 2
Avatar_ID: 1, x :8, y: 41
Avatar_ID: 2, x :22, y: 58
Avatar_ID: 3, x :38, y: 33
Avatar_ID: 4, x :42, y: 45
Avatar_ID: 0, x :15, y: 2
Avatar_ID: 1, x :8, y: 41
Avatar_ID: 2, x :22, y: 57
Avatar_ID: 3, x :38, y: 33
Avatar_ID: 4, x :42, y: 46
Avatar_ID: 0, x :16, y: 2
Avatar_ID: 1, x :8, y: 41
Avatar_ID: 2, x :21, y: 57
Avatar_ID: 3, x :37, y: 33
Avatar_ID: 4, x :43, y: 46
Avatar_ID: 0, x :16, y: 2
Avatar_ID: 1, x :8, y: 41
Avatar_ID: 2, x :21, y: 57
Avatar_ID: 3, x :37, y: 33
Avatar_ID: 4, x :43, y: 46
Avatar_ID: 0, x :16, y: 2
Avatar_ID: 1, x :9, y: 41
Avatar_ID: 2, x :21, y: 57
Avatar_ID: 3, x :37, y: 33
Avatar_ID: 4, x :43, y: 46
Avatar_ID: 0, x :16, y: 2
Avatar_ID: 1, x :9, y: 41
Avatar_ID: 2, x :21, y: 57
Avatar_ID: 3, x :37, y: 32
Avatar_ID: 4, x :43, y: 47
Avatar_ID: 0, x :15, y: 2
Avatar_ID: 1, x :9, y: 41
Avatar_ID: 2, x :22, y: 57
Avatar_ID: 3, x :37, y: 32
Avatar_ID: 4, x :44, y: 47
Avatar_ID: 0, x :15, y: 3
Avatar_ID: 1, x :9, y: 42
Avatar_ID: 2, x :22, y: 57
Avatar_ID: 3, x :37, y: 31
Avatar_ID: 4, x :44, y: 47
Avatar_ID: 0, x :16, y: 3
Avatar_ID: 1, x :9, y: 42
Avatar_ID: 2, x :23, y: 57
Avatar_ID: 3, x :37, y: 31
Avatar_ID: 4, x :45, y: 47
Avatar_ID: 0, x :16, y: 3
Avatar_ID: 1, x :9, y: 42
Avatar_ID: 2, x :23, y: 57
Avatar_ID: 3, x :37, y: 31
Avatar_ID: 4, x :45, y: 47
Avatar_ID: 0, x :16, y: 3
Avatar_ID: 1, x :8, y: 42
Avatar_ID: 2, x :24, y: 57
Avatar_ID: 3, x :38, y: 31
Avatar_ID: 4, x :45, y: 47
Avatar_ID: 0, x :16, y: 4
Avatar_ID: 1, x :8, y: 42
Avatar_ID: 2, x :24, y: 56
Avatar_ID: 3, x :38, y: 31
Avatar_ID: 4, x :45, y: 48
Avatar_ID: 0, x :17, y: 4
Avatar_ID: 1, x :7, y: 42
Avatar_ID: 2, x :23, y: 56
Avatar_ID: 3, x :39, y: 31
Avatar_ID: 4, x :46, y: 48
Avatar_ID: 0, x :17, y: 3
Avatar_ID: 1, x :7, y: 43
Avatar_ID: 2, x :23, y: 56
Avatar_ID: 3, x :39, y: 30
Avatar_ID: 4, x :46, y: 48
Avatar_ID: 0, x :17, y: 3
Avatar_ID: 1, x :8, y: 43
Avatar_ID: 2, x :23, y: 56
