khizarhussain16, 46014, 2, 2016-3-8 21:57:36
Avatar_ID: 0, x :12, y: 2
Avatar_ID: 1, x :21, y: 6
Avatar_ID: 0, x :12, y: 2
Avatar_ID: 1, x :21, y: 6
Avatar_ID: 0, x :12, y: 1
Avatar_ID: 1, x :21, y: 6
Avatar_ID: 0, x :12, y: 1
Avatar_ID: 1, x :22, y: 6
Avatar_ID: 0, x :12, y: 0
Avatar_ID: 1, x :22, y: 6
Avatar_ID: 0, x :11, y: 0
Avatar_ID: 1, x :22, y: 6
Avatar_ID: 0, x :11, y: 0
Avatar_ID: 1, x :22, y: 7
Avatar_ID: 0, x :10, y: 0
Avatar_ID: 1, x :22, y: 7
Avatar_ID: 0, x :10, y: 0
Avatar_ID: 1, x :22, y: 8
Avatar_ID: 0, x :10, y: 0
Avatar_ID: 1, x :22, y: 8
Avatar_ID: 0, x :10, y: 0
Avatar_ID: 1, x :22, y: 8
Avatar_ID: 0, x :11, y: 0
Avatar_ID: 1, x :22, y: 8
Avatar_ID: 0, x :11, y: 0
Avatar_ID: 1, x :22, y: 7
Avatar_ID: 0, x :12, y: 0
Avatar_ID: 1, x :21, y: 7
Avatar_ID: 0, x :12, y: 0
Avatar_ID: 1, x :21, y: 8
Avatar_ID: 0, x :13, y: 0
Avatar_ID: 1, x :21, y: 8
Avatar_ID: 0, x :13, y: 0
Avatar_ID: 1, x :21, y: 8
Avatar_ID: 0, x :13, y: 0
Avatar_ID: 1, x :20, y: 8
Avatar_ID: 0, x :13, y: 1
Avatar_ID: 1, x :20, y: 9
Avatar_ID: 0, x :14, y: 1
Avatar_ID: 1, x :21, y: 9
Avatar_ID: 0, x :14, y: 1
Avatar_ID: 1, x :21, y: 9
Avatar_ID: 0, x :15, y: 1
Avatar_ID: 1, x :22, y: 9
Avatar_ID: 0, x :15, y: 1
Avatar_ID: 1, x :22, y: 9
Avatar_ID: 0, x :15, y: 1
Avatar_ID: 1, x :22, y: 9
Avatar_ID: 0, x :15, y: 2
Avatar_ID: 1, x :22, y: 10
Avatar_ID: 0, x :16, y: 2
Avatar_ID: 1, x :23, y: 10
Avatar_ID: 0, x :16, y: 1
Avatar_ID: 1, x :23, y: 10
Avatar_ID: 0, x :16, y: 1
Avatar_ID: 1, x :24, y: 10
Avatar_ID: 0, x :16, y: 1
Avatar_ID: 1, x :24, y: 10
Avatar_ID: 0, x :17, y: 1
Avatar_ID: 1, x :25, y: 10
Avatar_ID: 0, x :17, y: 1
Avatar_ID: 1, x :25, y: 10
Avatar_ID: 0, x :17, y: 1
Avatar_ID: 1, x :25, y: 10
Avatar_ID: 0, x :17, y: 2
Avatar_ID: 1, x :25, y: 10
Avatar_ID: 0, x :17, y: 2
Avatar_ID: 1, x :24, y: 10
Avatar_ID: 0, x :17, y: 3
Avatar_ID: 1, x :24, y: 11
Avatar_ID: 0, x :17, y: 3
Avatar_ID: 1, x :25, y: 11
Avatar_ID: 0, x :17, y: 4
Avatar_ID: 1, x :25, y: 11
Avatar_ID: 0, x :18, y: 4
Avatar_ID: 1, x :25, y: 11
Avatar_ID: 0, x :18, y: 4
Avatar_ID: 1, x :25, y: 12
Avatar_ID: 0, x :19, y: 4
Avatar_ID: 1, x :25, y: 12
Avatar_ID: 0, x :19, y: 4
Avatar_ID: 1, x :25, y: 12
Avatar_ID: 0, x :19, y: 4
Avatar_ID: 1, x :24, y: 12
Avatar_ID: 0, x :19, y: 5
Avatar_ID: 1, x :24, y: 13
Avatar_ID: 0, x :19, y: 5
Avatar_ID: 1, x :24, y: 13
Avatar_ID: 0, x :19, y: 5
Avatar_ID: 1, x :24, y: 14
Avatar_ID: 0, x :18, y: 5
Avatar_ID: 1, x :24, y: 14
Avatar_ID: 0, x :18, y: 6
Avatar_ID: 1, x :24, y: 14
Avatar_ID: 0, x :18, y: 6
Avatar_ID: 1, x :23, y: 14
Avatar_ID: 0, x :18, y: 7
Avatar_ID: 1, x :23, y: 14
Avatar_ID: 0, x :19, y: 7
Avatar_ID: 1, x :22, y: 14
Avatar_ID: 0, x :19, y: 6
Avatar_ID: 1, x :22, y: 14
Avatar_ID: 0, x :19, y: 6
Avatar_ID: 1, x :22, y: 14
Avatar_ID: 0, x :19, y: 6
Avatar_ID: 1, x :22, y: 14
Avatar_ID: 0, x :20, y: 6
Avatar_ID: 1, x :23, y: 14
Avatar_ID: 0, x :20, y: 5
Avatar_ID: 1, x :23, y: 14
Avatar_ID: 0, x :20, y: 5
Avatar_ID: 1, x :24, y: 14
Avatar_ID: 0, x :20, y: 5
Avatar_ID: 1, x :24, y: 13
Avatar_ID: 0, x :21, y: 5
Avatar_ID: 1, x :23, y: 13
Avatar_ID: 0, x :21, y: 5
Avatar_ID: 1, x :23, y: 13
Avatar_ID: 0, x :22, y: 5
Avatar_ID: 1, x :22, y: 13
Avatar_ID: 0, x :22, y: 4
Avatar_ID: 1, x :22, y: 13
Avatar_ID: 0, x :21, y: 4
Avatar_ID: 1, x :21, y: 13
Avatar_ID: 0, x :21, y: 4
Avatar_ID: 1, x :21, y: 14
Avatar_ID: 0, x :20, y: 4
Avatar_ID: 1, x :21, y: 14
Avatar_ID: 0, x :20, y: 4
Avatar_ID: 1, x :21, y: 15
Avatar_ID: 0, x :20, y: 4
Avatar_ID: 1, x :22, y: 15
Avatar_ID: 0, x :20, y: 3
Avatar_ID: 1, x :22, y: 15
Avatar_ID: 0, x :20, y: 3
Avatar_ID: 1, x :23, y: 15
Avatar_ID: 0, x :20, y: 3
Avatar_ID: 1, x :23, y: 15
Avatar_ID: 0, x :21, y: 3
Avatar_ID: 1, x :24, y: 15
Avatar_ID: 0, x :21, y: 3
Avatar_ID: 1, x :24, y: 15
Avatar_ID: 0, x :22, y: 3
Avatar_ID: 1, x :24, y: 15
Avatar_ID: 0, x :22, y: 2
Avatar_ID: 1, x :24, y: 16
Avatar_ID: 0, x :22, y: 2
Avatar_ID: 1, x :24, y: 16
Avatar_ID: 0, x :22, y: 2
Avatar_ID: 1, x :24, y: 17
Avatar_ID: 0, x :23, y: 2
Avatar_ID: 1, x :25, y: 17
Avatar_ID: 0, x :23, y: 2
Avatar_ID: 1, x :25, y: 17
Avatar_ID: 0, x :23, y: 2
Avatar_ID: 1, x :26, y: 17
Avatar_ID: 0, x :23, y: 3
Avatar_ID: 1, x :26, y: 16
Avatar_ID: 0, x :23, y: 3
Avatar_ID: 1, x :25, y: 16
Avatar_ID: 0, x :23, y: 4
Avatar_ID: 1, x :25, y: 16
Avatar_ID: 0, x :23, y: 4
Avatar_ID: 1, x :25, y: 16
Avatar_ID: 0, x :23, y: 5
Avatar_ID: 1, x :25, y: 15
Avatar_ID: 0, x :23, y: 5
Avatar_ID: 1, x :25, y: 15
Avatar_ID: 0, x :23, y: 6
Avatar_ID: 1, x :25, y: 15
Avatar_ID: 0, x :23, y: 6
Avatar_ID: 1, x :26, y: 15
Avatar_ID: 0, x :23, y: 7
Avatar_ID: 1, x :26, y: 14
Avatar_ID: 0, x :24, y: 7
